Ticker,Sector,Industry,Shares Outstanding,Beta,PE Ratio,Earnings Date,Market Cap,EPS Actual,Revenue,,EPS Estimate,EPS Surprise,SurPrice % Change After EPS (1d)prise %,price_pct_change_1d_before,price_pct_change_5d_before,volume_pct_change_1d_before,volatility_5d,ma_5,ma_10,ma_20,target
AA,0,2,258902000,2.257,8.23262,2025-04-16,6468603419.5251465,0.7802179975434721,3486000000.0,-0.069804525586585,0.29659,0.2734099999999999,0.9218,-1.3194740867248482,14.576876259492431,-27.54465357057149,1.323811089346692,24.725640869140623,25.332570266723632,29.005539226531983,0
AA,0,2,258902000,2.257,8.23262,2024-10-16,10794194876.182556,0.0772493066874724,2906000000.0,-0.0408842749361101,1.40703,0.7429699999999999,0.528,-1.196172689414652,1.8817832061280533,-16.69981207465927,0.3216480836268702,39.99954147338868,39.191860580444335,37.75240421295166,0
AAL,7,1,659512000,1.38,11.715,2025-06-05,7432700541.900635,-0.7171969577505792,12551000000.0,0.0452528176124599,1.04819,0.0418100000000001,0.0399,-0.4359214435120091,-0.2624731919904042,-6.0733186759709055,0.0777623532749948,11.41599998474121,11.397999954223632,11.480999946594238,1
AAL,7,1,659512000,1.38,11.715,2025-04-24,6337910093.574524,0.8946008563907859,13660000000.0,0.0145681944146042,0.16596,0.13404,0.8077,0.1074035956695607,-4.365485162667786,64.19262176238851,0.4867547755916105,9.315999984741213,9.63100004196167,9.939000034332276,1
AAL,7,1,659512000,1.38,11.715,2024-10-24,8428563183.891296,1.0871674814104977,14334000000.0,0.0289514783481972,-0.66839,0.07839,0.1173,-1.0030872998323344,-0.6206355436405869,25.202064304662898,0.209671316428167,12.932000160217283,12.500000095367431,11.94700002670288,1
AAON,7,12,81366096,1.031,39.340313,2025-05-21,8169484552.026123,0.3600025248845662,322054000.0,-0.0056710565329078,0.515,0.1049999999999999,0.2039,-1.7205725643610712,-1.0004658878609434,-3.51542741527567,0.268425137965015,105.24092864990234,103.16212158203123,97.39271049499511,0
AAON,7,12,81366096,1.031,39.340313,2025-05-01,7840298627.609253,0.3034433408234309,297718000.0,0.030167994536763,0.57167,0.0583299999999999,0.102,2.4239700803393216,4.606387608535326,81.90334255908026,0.2608372087488083,88.49660034179688,84.48383483886718,81.94151802062989,1
AAON,7,12,81366096,1.031,39.340313,2025-04-30,7840298627.609253,0.6467681575874059,327252000.0,0.030167994536763,0.53286,-0.23286,-0.437,0.3604025009261877,2.703369232198632,-29.00544135429262,0.2633555472744173,86.65654144287109,83.56680221557617,81.33665657043457,1
AAON,7,12,81366096,1.031,39.340313,2025-02-27,6384160738.270752,0.6418889754769603,313566000.0,-0.0233977499841018,0.23571,0.13429,0.5697,1.724991357544814,-3.084748683960468,3.44051872436152,0.5040211736291497,103.08635864257812,107.86353302001952,110.66069259643557,0
ACHC,6,37,92122200,0.945,11.960784,2025-05-13,2481772117.1985626,0.3540406112750238,774238000.0,-0.0452858647556742,0.8992,0.0108,0.012,8.389261691270985,4.34020076412686,118.38861354682932,0.6180642295071366,24.371999740600582,23.65099983215332,23.25899991989136,0
ACI,3,26,563990016,0.311,13.582317,2025-04-15,11170519509.17578,0.3046153214173209,18799500000.0,0.060681968673092,0.67655,-0.0165499999999999,-0.024500001,1.7932993116984974,-1.828413879924664,61.659860724783485,0.2504161578528361,21.12929916381836,21.593166542053225,21.40543441772461,1
ACI,3,26,563990016,0.311,13.582317,2024-10-15,10190571150.782228,0.2579832902573934,18551500000.0,-0.0075882433477913,0.64463,0.0653699999999999,0.1014,-0.5988042997711015,0.0,18.04145930483169,0.1167707407396037,17.945310592651367,18.02659492492676,18.083886051177977,0
ACM,7,22,132301000,0.973,24.703424,2025-05-06,13586673360.908508,1.0838466829426838,3771613000.0,-0.0138929119886755,1.12357,0.0364299999999999,0.0324,-0.1660937201616303,0.7491690417859328,-46.656099033816425,0.1433147177947367,100.09111938476562,98.09867630004882,95.16937561035157,0
ACM,7,22,132301000,0.973,24.703424,2025-03-19,12656659064.376831,1.304207829116938,4110494000.0,-0.0120645157071257,1.10483,0.20517,0.1857,-0.230144981712338,0.2436981938222446,-32.115112994350284,0.2111576198275138,94.27666625976562,94.9134422302246,96.1292854309082,0
ADC,8,49,110019000,0.565,40.299435,2025-04-23,8408549074.012756,0.411192612185168,160734000.0,-0.0120435142540756,0.43122,-0.03082,-0.0715,0.5081382215867285,1.005348101654391,89.98314922299195,0.1082873268470873,77.63761596679687,75.24639053344727,75.02259330749511,0
ADC,8,49,110019000,0.565,40.299435,2025-04-22,8615441569.56482,0.4033394231905398,154332000.0,-0.0240142461950293,0.43856,-0.02856,-0.0651,-0.417455225708611,2.242692313312378,-6.805095096841737,0.1539577639178918,77.13680267333984,74.4803253173828,74.84147109985352,0
ADC,8,49,110019000,0.565,40.299435,2025-02-12,7722530179.161072,0.4974049936829093,152575000.0,0.0060224142764086,0.42512,0.0341799999999999,0.0804,-0.2884145375678615,0.6074883815717488,47.59966311061202,0.0609155505240736,71.61620635986328,71.42925262451172,71.04709053039551,1
AFG,5,32,83518000,0.715,13.2731085,2025-05-07,10188360641.586304,3.0532340333820254,2148000000.0,0.0066399311597073,2.46333,-0.1533299999999999,-0.0622,0.6660991451367175,-1.0777801440051271,50.85845097291111,0.2456038533323954,128.30800170898436,128.09800033569337,126.80403442382811,1
